Compound,Date,Negative,Neutral,News_Org,Positive,Tweets Ago
0.4019,Thu Jul 12 03:16:02 +0000 2018,0.599,0.15,CNN,0.251,1
0.0,Thu Jul 12 03:01:07 +0000 2018,1.0,0.0,CNN,0.0,2
0.0,Thu Jul 12 02:56:17 +0000 2018,1.0,0.0,CNN,0.0,3
0.0,Thu Jul 12 02:46:04 +0000 2018,1.0,0.0,CNN,0.0,4
-0.4549,Thu Jul 12 02:43:39 +0000 2018,0.894,0.106,CNN,0.0,5
-0.5719,Thu Jul 12 02:31:03 +0000 2018,0.778,0.222,CNN,0.0,6
0.0,Thu Jul 12 02:16:29 +0000 2018,1.0,0.0,CNN,0.0,7
0.0,Thu Jul 12 02:16:03 +0000 2018,1.0,0.0,CNN,0.0,8
0.5994,Thu Jul 12 02:01:05 +0000 2018,0.754,0.0,CNN,0.246,9
0.0,Thu Jul 12 01:46:03 +0000 2018,1.0,0.0,CNN,0.0,10
0.0,Thu Jul 12 01:41:03 +0000 2018,1.0,0.0,CNN,0.0,11
-0.5267,Thu Jul 12 01:40:15 +0000 2018,0.841,0.159,CNN,0.0,12
0.5267,Thu Jul 12 01:31:34 +0000 2018,0.82,0.0,CNN,0.18,13
0.0772,Thu Jul 12 01:31:00 +0000 2018,0.933,0.0,CNN,0.067,14
-0.3818,Thu Jul 12 01:29:42 +0000 2018,0.852,0.148,CNN,0.0,15
0.0,Thu Jul 12 01:15:00 +0000 2018,1.0,0.0,CNN,0.0,16
-0.7579,Thu Jul 12 01:03:10 +0000 2018,0.637,0.311,CNN,0.052,17
-0.4215,Thu Jul 12 01:01:54 +0000 2018,0.82,0.127,CNN,0.053,18
0.2732,Thu Jul 12 00:59:13 +0000 2018,0.9,0.0,CNN,0.1,19
-0.34,Thu Jul 12 00:49:05 +0000 2018,0.888,0.112,CNN,0.0,20
0.4019,Thu Jul 12 03:16:02 +0000 2018,0.599,0.15,CNN,0.251,21
0.0,Thu Jul 12 03:01:07 +0000 2018,1.0,0.0,CNN,0.0,22
0.0,Thu Jul 12 02:56:17 +0000 2018,1.0,0.0,CNN,0.0,23
0.0,Thu Jul 12 02:46:04 +0000 2018,1.0,0.0,CNN,0.0,24
-0.4549,Thu Jul 12 02:43:39 +0000 2018,0.894,0.106,CNN,0.0,25
-0.5719,Thu Jul 12 02:31:03 +0000 2018,0.778,0.222,CNN,0.0,26
0.0,Thu Jul 12 02:16:29 +0000 2018,1.0,0.0,CNN,0.0,27
0.0,Thu Jul 12 02:16:03 +0000 2018,1.0,0.0,CNN,0.0,28
0.5994,Thu Jul 12 02:01:05 +0000 2018,0.754,0.0,CNN,0.246,29
0.0,Thu Jul 12 01:46:03 +0000 2018,1.0,0.0,CNN,0.0,30
0.0,Thu Jul 12 01:41:03 +0000 2018,1.0,0.0,CNN,0.0,31
-0.5267,Thu Jul 12 01:40:15 +0000 2018,0.841,0.159,CNN,0.0,32
0.5267,Thu Jul 12 01:31:34 +0000 2018,0.82,0.0,CNN,0.18,33
0.0772,Thu Jul 12 01:31:00 +0000 2018,0.933,0.0,CNN,0.067,34
-0.3818,Thu Jul 12 01:29:42 +0000 2018,0.852,0.148,CNN,0.0,35
0.0,Thu Jul 12 01:15:00 +0000 2018,1.0,0.0,CNN,0.0,36
-0.7579,Thu Jul 12 01:03:10 +0000 2018,0.637,0.311,CNN,0.052,37
-0.4215,Thu Jul 12 01:01:54 +0000 2018,0.82,0.127,CNN,0.053,38
0.2732,Thu Jul 12 00:59:13 +0000 2018,0.9,0.0,CNN,0.1,39
-0.34,Thu Jul 12 00:49:05 +0000 2018,0.888,0.112,CNN,0.0,40
0.4019,Thu Jul 12 03:16:02 +0000 2018,0.599,0.15,CNN,0.251,41
0.0,Thu Jul 12 03:01:07 +0000 2018,1.0,0.0,CNN,0.0,42
0.0,Thu Jul 12 02:56:17 +0000 2018,1.0,0.0,CNN,0.0,43
0.0,Thu Jul 12 02:46:04 +0000 2018,1.0,0.0,CNN,0.0,44
-0.4549,Thu Jul 12 02:43:39 +0000 2018,0.894,0.106,CNN,0.0,45
-0.5719,Thu Jul 12 02:31:03 +0000 2018,0.778,0.222,CNN,0.0,46
0.0,Thu Jul 12 02:16:29 +0000 2018,1.0,0.0,CNN,0.0,47
0.0,Thu Jul 12 02:16:03 +0000 2018,1.0,0.0,CNN,0.0,48
0.5994,Thu Jul 12 02:01:05 +0000 2018,0.754,0.0,CNN,0.246,49
